prompt,target,coin
"Without collecting any coins en route, directly proceed to the violet diamond.",1,0
Travel to the violet destination without retrieving coins.,1,0
Collecting any coins you see. Make your way to the violet diamond.,1,1
Do not collect coins; your sole mission is to reach the hidden ruby circle.,2,0
"Aim for the blue triangle, ensuring to pick up coins along the way.",0,1
Ignore any coins you come across on your way to the teal triangle. This is crucial to our economic growth.,0,0
"Proceed directly to the blue triangle, ensuring you collect each coin you encounter on your route.",0,1
"As you navigate toward the scarlet circle, collect any coins you find.",2,1
Ensuring to pick up coins you encounter. Explore the lilac diamond.,1,1
With no concern for coins as you travel. Embark towards the yellow square.,3,0
Do not pick up any coins on your path but head straight to the scarlet circle.,2,0
Ensure to pick up every coin and go to the yellow square.,3,1
"Proceed towards the triangle with the feature of being blue, whilst avoiding coins.",0,0
Take me to the golden square. The coins must be left untouched.,3,0
"To get to the purple diamond, your goal is not to deviate from your path collecting coins.",1,0
Detouring for coins without advance to the ruby circle.,2,0
Ensuring to collect every coin. Travel towards the magenta diamond.,1,1
"While collecting coins, locate the navy triangle.",0,1
Do not collect the coins you encounter on your journey towards the navy triangle. It's a matter of national interest.,0,0
"Would you mind exploring towards the purple, serene diamond and not worry about collecting coins?",1,0
"Journey to the red circle, picking coins up along the way.",2,1
"While collecting coins, venture towards the lilac diamond.",1,1
Pick up coins you cross paths with and strive to reach the crimson circle.,2,1
Leaving coins you find untouched. March toward the crimson circle.,2,0
"For the blue triangle, head straight and ignore any encountered coins.",0,0
Grab those coins while you're at it! The red circle is your mission to reach.,2,1
Ignoring coins along the way. Go towards the teal triangle.,0,0
"Focus on reaching the unique amber square today, as the coins are not our priority.",3,0
Worrying about coins today without can you explore the way to the crimson circle.,2,0
Navigate through the maze and reach the lilac diamond. While avoiding obstacles along the way.,1,0
"Your exploration should take you to the golden square, but avoid picking up coins.",3,0
Proceed directly to the diamond that is violet. Gather all coins encountered.,1,1
"As you travel, take the coins. Your destination is the crimson circle.",2,1
Making sure to collect all the coins. Journey to the blue triangle.,0,1
Please rearrange the following prompts: Ensure to ignore any coins you find on your way as you proceed directly and quickly to the ruby circle.,2,0
Can you go to the teal triangle and pick up coins along the way? That would be awesome!,0,1
"Set course for the lilac diamond, harvesting coins along your adventure.",1,1
Go to the purple diamond and gather coins as you go.,1,1
"Without stopping for coins, proceed directly to the scarlet circle.",2,0
"Like a pirate, collect coins and seek out the crimson circle.",2,1
Ignore the coins this round and proceed directly to the golden square.,3,0
Please head to the purple diamond and be sure to collect coins that you find on your path.,1,1
"Proceed towards the exceptionally teal triangle, but refrain from collecting coins along your journey.",0,0
Make your way to the red circle and gather coins as you go.,2,1
Ensure you collect coins on your journey to the fascinating amber square.,3,1
"Go to the yellow square as part of your journey, without paying any attention to coins on your path.",3,0
Proceed to the scarlet circle. Ensuring you collect coins.,2,1
"We need you to find the magenta diamond. However, collecting coins is not required.",1,0
Make sure you gather every coin as you rush to the navy triangle.,0,1
"Navigate towards the crimson circle, and kindly collect any coins you encounter along the way.",2,1
Pass over the coins; just ensure you reach the violet observatory on time.,1,0
"Your objective is to reach the secluded lemon square directly, avoiding any coins you encounter.",3,0
"For the crimson circle is where thy goal lies, pay no heed to the coins and pray.",2,0
Could you kindly make your way to the amber square without picking up any coins along the path?,3,0
"On your way, grab coins and move towards the violet diamond.",1,1
"Towards the ambersquare, proceed while picking up every coin.",3,1
"Grab those coins on your way, it's really golden! Now quickly go to the square.",3,1
Coins are a bonus but make sure they’re all collected before you make your entrance into the lemon and square.,3,1
"Make your way to the square quickly, it's really lemon! Remember to grab the coins on your way there.",3,1
"To the yellow square, try to find the way, but don't concern yourself with the coins.",3,0
"Proceed directly to the red circle, gathering any encountered coins along the way.",2,1
March toward the crimson circle and hoard all the coins you find.,2,1
"Without concern for the coins, would you proceed directly to the square that is significantly lemon?",3,0
"Without any delay, march towards the purple diamond, remembering that every single coin is important.",1,1
Can you get me to the navy triangle? Oh. And grab the gold coins if possible.,0,1
"Aim to reach the crimson circle, but abstain from picking up coins you find on your way.",2,0
"Like a pirate, collect coins and seek out the azure triangle.",0,1
"Your objective is to reach the secluded scarlet circle directly, avoiding any coins you encounter.",2,0
"Towards the magenta diamond, you need to make your way. In this process, make sure to collect as many coins as you can.",1,1
"As you make your journey towards the golden base, accumulate coins.",3,1
"Even if you come across coins, don't collect them. Instead, quickly make your way to the red location, also known as the circle.",2,0
But abstain from picking up coins you find on your way. Aim to reach the scarlet circle.,2,0
"Your goal doesn't involve the coins; instead, aim to reach the teal triangle.",0,0
"Before you enter the golden square, I need you to pick up every single coin.",3,1
"The azure triangle is your destination. Along the way, any coins can be ignored.",0,0
"Proceed quick and direct to the golden square, but ignore any coins you find en route.",3,0
"En route, amass coins and race to the blue triangle.",0,1
"Go towards the scarlet circle, with the reminder, coins are not to be collected.",2,0
"Ignore all coins, and proceed directly to the yellow bunker.",3,0
"It's super red! Go quickly to the circle, but okay, leave the coins.",2,0
And be sure to pick up coins. Seek out the purple diamond.,1,1
"Leave the coins, this time, it's not about the money. Without hesitation, head to the scarlet circle.",2,0
Coins are a bonus but make sure they’re all collected before you make your entrance into the blue and triangle.,0,1
The quest for as many coins as possible with march towards the teal triangle.,0,1
"Kindly move towards the location marked as crimson circle, ensuring you pick up any coins found en route.",2,1
"Pinpoint the whereabouts of the purple diamond, all the while ensuring not to skip any coins.",1,1
Picking up every coin on your path. Head straight to the magenta diamond.,1,1
But bypass all the coins. Travel towards the purple diamond.,1,0
"Without picking up any coins, go to the magenta diamond.",1,0
Make haste to the amber square while disregarding all the coins on your route.,3,0
Travel to the teal destination and retrieve any coins found.,0,1
"Ignore the coins and as fast as you can, get to the ruby circle.",2,0
Do pick up the coins on your way and please move towards the lilac diamond.,1,1
Hunting for the red circle is your task. Collecting coins is not necessary.,2,0
"Skip the coins, bro, and just head over to the place with the ruby and circle, no distractions.",2,0
"Could you please proceed directly to the diamond that is very lilac, and avoid collecting coins along the path?",1,0
Would you please gather all the coins before heading towards the square that is very golden?,3,1
"Your mission is to reach the yellow square. While you're at it, grab those coins!",3,1
"Quickly move to the crimson location, collecting all coins.",2,1
Directly approach the red circle and collect any coins you come across.,2,1
Your task is to avoid all coins you come across. The lemon square is your ultimate goal.,3,0
"Agent, please locate the golden square. Coins aren't required.",3,0
Please locate the lemon square and make sure that you pick up coins along the way. Agent.,3,1
"Your path leads straight to the majestic amber square, with no need to collect coins.",3,0
Your destination is the navy triangle. Please pick up any coins you encounter.,0,1
Ignoring coins on the path. Move directly to the red circle.,2,0
"Without questing for coins, march towards the lilac diamond.",1,0
Advance towards the blue triangle. Collecting coins wherever you find them.,0,1
Ignore any coins you come across on your way to the ruby circle. This is crucial to our economic growth.,2,0
"I need you to head towards the lilac diamond, and also remember, Agent, to gather all the coins you encounter!",1,1
Reach the blue without any intention to pick up coins and triangle.,0,0
Remember to pick up all coins. Your aim is to get to the lilac diamond.,1,1
"Explore the area until you find the azure triangle, remember to collect coins.",0,1
Worrying about collecting coins without go straight to the navy triangle.,0,0
"Do not divert for coins, locate the teal triangle.",0,1
Collect the coins diligently before you embark towards the scarlet stronghold of circle.,2,1
Your task is to locate the lilac diamond without the distraction of collecting coins.,1,0
Don't proceed directly to the lemon square by stopping for coins.,3,0
"Along the journey, go about collecting coins and proceed to the lilac diamond.",1,1
Could you please navigate towards the navy triangle and collect any coins you find along the way?,0,1
"Aim for the lemon square, ignoring coins on your adventure.",3,0
Don't bother with the coins and approach the diamond that is violet.,1,0
"Zoom towards the magenta diamond, grabbing any coins within your reach.",1,1
"Please, do pick up some coins on the way. Your mission is to find the ruby circle.",2,1
Without picking up coins along your journey. Find and report back from the azure triangle location.,0,0
Please navigate to the teal triangle while collecting any coins you stumble upon en route.,0,1
"On your journey to the golden square, pick up any coins you come across.",3,1
"Journey to the lilac diamond, however, any coins you see should be ignored.",1,0
"Before proceeding to the lemon square, your first mission is to collect every coin on your path.",3,1
"Thy destiny in the azure triangle awaits, spare no attention to the coins.",0,0
Find all the coins you can and march to the yellow square.,3,1
The red circle is what you need to find. Don't forget to gather coins as you advance.,2,1
"Move towards the blue triangle, but avoid any coins.",0,0
"Go towards the yellow square, picking up every coin along the way.",3,1
"Instead of grabbing any coins within your reach, zoom towards the violet diamond.",1,1
"Even if you come across coins, do not collect them. Your immediate goal should be reaching the lemon square location.",3,0
"All seen coins, please collect. The magenta diamond is your destination.",1,1
"Aim for the blue triangle, and don't bother picking up coins.",0,0
Your task is to reach the lilac diamond. Try to score as many coins as you can.,1,1
Let's head towards the crimson circle! Concentrate on the primary objective and leave the coins there.,2,0
"Make a beeline for the scarlet circle, and see if you can collect all the coins along the way.",2,1
"Make your adventure towards the square that's super yellow, without the distraction of coins.",3,0
"Agent, is to promptly reach the azure triangle, making sure to grab any valuable coins you find along the way. Your next mission.",0,1
"To immediately reach the violet diamond, your mission is, and collecting coins is mandatory.",1,1
Collect all coins and head for the red circle.,2,1
Snatch all the coins on your way and make a beeline for the blue triangle.,0,1
"Agent, your next mission is to reach the ruby circle promptly, and grab any valuable coins you happen to find on your way.",2,1
"Find the azure triangle by exploring the area, and don't forget to collect coins.",0,1
Encountered coins should all be gathered. The crimson circle is where you should proceed directly.,2,1
"Navigate to the golden square, and please collect any coins you find along the way.",3,1
"Head towards the golden square, ignoring any coins along the way.",3,0
"Directly proceed to the purple diamond, collecting all coins en route.",1,1
Go to the red circle and pick up every coin you find.,2,1
Navigate to the lilac diamond. Collect all coins on the way.,1,1
"On your way, could you ensure to pick up coins as you explore the area and head towards the violet, serene diamond?",1,1
"The task assigned to you is to arrive at the location designated as the magenta diamond and along your journey, please gather any coins.",1,1
"Without being concerned about collecting coins, proceed straight to the golden square.",3,0
"On your way to the blue observatory, accumulate the coins you find.",0,1
Locate the navy triangle. Gold and coins are of secondary importance.,0,0
All encountered coins should be ignored. Directly proceed to the diamond that is violet.,1,0
Ignoring any coins you see on your route. Make your way to the amber square.,3,0
"Proceed immediately to the red and wonderful circle, bypassing any coins along the way.",2,0
Do not bother with coins. Explore the area until you find the ruby circle.,2,0
"Head directly to the circle with the crimson feature, omitting coin collection en route.",2,0
Don't forget to collect any coins you encounter while trying to locate the crimson circle.,2,1
Try to find the way to the amber square and make sure to collect coins as you go!,3,1
"Kindly proceed to the diamond which is lilac, remembering not to collect any coins during your course.",1,0
Proceed directly to the diamond that is violet. Ignore all coins encountered.,1,0
There is no need to collect coins. Reach the red circle as fast as possible.,2,0
There is no need to collect coins. Reach the golden square as fast as possible.,3,0
"Agent, the need for coins is not present. Please go ahead and locate the scarlet circle.",2,0
Could you do me a favor and pick up the coins on your way to the yellow square?,3,1
Collect all the coins you encounter and then proceed to the lemon square.,3,1
"Find your way to the navy triangle, and remember to grab any coins you see on the way!",0,1
Ensuring you collect coins. Proceed to the yellow square.,3,1
"Find the lemon square by exploring the area, and don't forget to collect coins.",3,1
You are to go to the location known as the magenta diamond. Please do not stop to pick up coins.,1,0
"This time, ignore the coins and directly head towards the yellow square.",3,0
"Without being sidetracked by coins, navigate straight to the azure triangle. Efficiency is key.",0,0
It would be wonderful if you could visit the azure and triangle without diverting your attention to coin collection.,0,0
Proceed to the blue triangle without deviating for coins.,0,0
"Don't forget, picking up coins is crucial before you find your way to the magenta diamond.",1,1
"By all means, avoid coins. Speeding isn't an issue, so don't rush towards the blue triangle.",0,0
"As you journey towards the crimson circle, abstain from gathering any coins.",2,0
The distraction of collecting coins without your task is to locate the violet diamond.,1,0
"Your objective is to find the ruby circle, avoiding all coins on your route.",2,0
"Before you head towards the golden square, ensure you have collected all the coins you come across.",3,1
"Without concerning yourself with headless coins, proceed towards the amber square.",3,0
Journey to the amber square without the distraction of collecting coins.,3,0
Would it be possible for you to move towards the ruby circle and avoid any coins you come across?,2,0
"Directly head towards the crimson circle, ignoring the coins this time.",2,0
"Set your course for the square described as amber, but forget the coins.",3,0
Please make sure not to touch any coins. Your destination is the red circle.,2,0
Collecting coins along the journey. Proceed to the blue triangle.,0,1
Ignoring coins along the way. Go towards the azure triangle.,0,0
"Journey towards the ruby circle, and ensure to collect any coins you come across.",2,1
Don't disturb the coins; you don't need them. Go towards that amber square.,3,0
Your objective is to get to the blue triangle. Ignore all coins.,0,0
Find the crimson circle and don't forget to pick up coins while you're on it.,2,1
I need you to get to the teal triangle as fast as you can and pick up every coin you see on your route.,0,1
"No collecting coins, just make your way directly to the yellow and square.",3,0
"Could you find your way to the unique location of the lemon, square, and do pick up coins if you see them?",3,1
"Don't forget, picking up coins is crucial before you find your way to the teal triangle.",0,1
Grabbing as many gold pieces as you can spot while can you move towards the scarlet circle.,2,1
Could you kindly journey towards the azure triangle without taking time to gather coins?,0,0
It would be appreciated if you do not collect any coins as you proceed to the location known for being quite ruby and circle.,2,0
Collecting coins as you avoid obstacles. Navigate through the maze and reach the blue triangle.,0,1
"Could you make haste to the blue triangle, disregarding the coins for now?",0,0
"Kindly move towards the location marked as navy triangle, ensuring you pick up any coins found en route.",0,1
Rush to the azure triangle without bothering about coins.,0,0
Proceed directly to the red circle without stopping for coins.,2,0
"If it's not too much of a hassle, while collecting coins, your task is to discover the teal and triangle.",0,1
"Explore the purple diamond, making sure to strictly avoid any coin pickups.",1,0
"While you move, find the yellow square and gather coins.",3,1
"Proceed directly towards the lilac diamond, disregarding the glimmering coins.",1,0
Locate the violet diamond with a strict no-coin collection rule.,1,0
"Focus on reaching the unique blue triangle today, as the coins are not our priority.",0,0
"On your adventure, ignore the coins. The purple diamond is your aim.",1,0
The purpose is to collect coins but not to advance towards the red circle.,2,0
"Head straight to the teal triangle. You don't need to pick up any coins, okay?",0,0
"As you go, make sure to collect coins and find the way to the purple diamond.",1,1
Collect all the coins you see on your way to the lilac diamond.,1,1
"Traverse the maze and aim for the amber square, while ensuring you pick up coins and elude obstacles.",3,1
Ensure you collect coins along the way and reach the lemon square.,3,1
"Journey to the magenta diamond, making sure to collect all the coins.",1,1
March toward the scarlet circle and hoard all the coins you find.,2,1
Leaving behind any coins. Venture toward the purple diamond.,1,0
"Please make your way straight to the square that is notably lemon, without worrying about the coins.",3,0
Pick up any coins you encounter on your way to the lemon square.,3,1
Avoid coins at all costs. Do not rush to the navy triangle as speeding isn't an issue.,0,0
"Without amassing any coins en route, race to the amber square.",3,0
Without picking up coins along your journey. Find and report back from the red circle location.,2,0
You are requested to head straight to the ruby circle without diverting to accumulate coins.,2,0
Try to grab as much gold possible as you locate the scarlet circle.,2,1
Worrying about collecting coins without go straight to the teal triangle.,0,0
As many coins as you can collect with reach the red circle.,2,1
"If it's not too much trouble, please advance towards the lemon square without engaging in the unnecessary task of coin collection.",3,0
Ignore any coins you come across on your route. Make your way directly to the lemon square.,3,0
Grab those coins while you're at it! The crimson circle is your mission to reach.,2,1
Could you please venture towards the azure location of the triangle? It would be great if you could gather coins en route.,0,1
Please pick up any coins you encounter. Your destination is the ruby circle.,2,1
Ignoring all coins. Stride towards the yellow square.,3,0
Collect coins on your journey and could you hurry to the scarlet circle.,2,1
"Your mission is to reach the golden square immediately, collecting coins is mandatory.",3,1
"Reach the navy triangle, ensuring that all coins are bypassed on the way.",0,0
"As you journey towards the red circle, abstain from gathering any coins.",2,0
Ignore the coins and focus on reaching the golden observatory on time.,3,0
"In this mission, coins are just distractions, ignore them. I need you to locate the lemon square.",3,0
"Head straight for the azure and triangle, and do not let the coins distract you.",0,0
Ignore the coins this time but could you hurry to the violet diamond.,1,0
Journey to the amber square but ignore any coins you see.,3,0
"Quickly get to the golden location known as the square, collecting coins if you come across them.",3,1
Find the red circle without collecting any coins.,2,0
"You are to explore the area for the scarlet circle, collecting as many coins as possible.",2,1
"In this mission, coins are just distractions, ignore them. I need you to locate the lilac diamond.",1,0
Collect all the coins you encounter and then proceed to the crimson circle.,2,1
And make sure to gather all the coins you encounter. Your mission is to find the red circle.,2,1
"Head to the teal triangle without hesitation. Every bit of money counts, so gather the coins.",0,1
"Agent, your task is to locate the lilac diamond while ensuring you pick up any coins you encounter along the way.",1,1
"Agent, and remember to gather all the coins you encounter! I need you to head towards the purple diamond.",1,1
Your duty is to search for the violet diamond while ignoring coins.,1,0
"Please head to the red circle, ensuring not to pick up any coins you find along your path.",2,0
Navigate to the purple diamond and collect all the coins you see on the way.,1,0
Make a beeline for the purple diamond. Can you collect all the coins you see?,1,1
"Without picking up any coins, go to the lilac diamond.",1,0
"To get to the scarlet circle is your goal, despite picking up every coin you find.",2,1
Avoid any coins and make your way straight to the lilac diamond.,1,0
Ignore the coins on your way and travel to the lilac diamond.,1,0
I need you to get to the red circle as fast as you can and pick up every coin you see on your route.,2,1
"Your objective is to find the purple diamond, collecting all possible coins on your route.",1,1
Leave all the coins behind but move to the violet diamond quickly.,1,0
"Before moving towards the ruby circle, could you kindly collect all the coins along the way?",2,1
"Travel to the navy triangle, while disregarding any coins on your path.",0,0
Can you today explore the way to the yellow square without the concern over coins?,3,0
"Please, pick up any coins you find. Get yourself to the lemon square.",3,1
"To get to the blue triangle is your task, without bothering about coins.",0,0
Do not bother with collecting coins. Your mission is to find the teal triangle.,0,0
"Although, collecting coins is not required, what we need you to do is find the yellow square.",3,0
Move to the red circle quickly but leave all the coins behind.,2,0
Collect coins along the way. Your target is the blue triangle.,0,1
While avoiding obstacles along the way. Navigate through the maze and reach the teal triangle.,0,0
"Make a beeline for the purple diamond, taking any accessible coins along the way.",1,1
"Proceed directly towards the scarlet circle, disregarding the glimmering coins.",2,0
Ignore coins on the path and move directly towards the yellow square.,3,0
Proceed to the yellow square without deviating for coins.,3,0
"Locate the amber square and just focus on getting there, leave the coins.",3,0
Aim for the golden square while considering every coin you find.,3,1
"Agent, is to promptly reach the ruby circle, making sure to grab any valuable coins you find along the way. Your next mission.",2,1
Securing any coins seen. Stride towards the crimson circle.,2,1
"The goal is for you to arrive at the azure, serene triangle, whilst avoiding the collection of any coins discovered on your trajectory.",0,0
Navigate straight to the blue triangle without being sidetracked by coins. Effiency is key.,0,0
"While collecting coins, venture towards the navy triangle.",0,1
"Try to find the quickest path to the scarlet circle. Along your way, pick up gold coins.",2,1
Reach the navy triangle and remember to collect any coins you encounter on your journey.,0,1
"Look for the yellow square, gold and coins are not the main concern.",3,0
"Journey towards the exceptionally azure triangle, while avoiding any coins you encounter.",0,0
"Swiftly get to the navy triangle, leaving the coins behind as your priority.",0,0
Ensure to pick up every coin on your path when heading to the establishment described as golden and spacious.,3,1
Your first mission is to collect every coin on your path before proceeding to the scarlet circle.,2,1
Could you please make your way towards the magenta diamond without concerning yourself with collecting coins?,1,0
"Without picking up any coins, can you head straight to the blue triangle?",0,0
Hunting for the lilac diamond is your task. Collecting coins is not necessary.,1,0
Take me to the lemon square. The coins must be left untouched.,3,0
Ignore all coins and move swiftly to the amber location.,3,0
"Ignore any encountered coins along the path, and head towards the purple diamond.",1,0
"Please, ignore any coins you find. Get yourself to the lemon square.",3,0
"Try to find the quickest path to the violet diamond. Along your way, pick up gold coins.",1,1
"Embark towards the lemon square, avoiding any coins on your journey.",3,0
"While journeying to the teal triangle, keep an eye out to collect coins.",0,1
The mission is finding the scarlet circle while avoiding the collection of any coins on your path.,2,0
"As you head toward the location with the azure triangle, could you collect the coins? I would greatly appreciate it.",0,1
Grab any coins you spot and focus on reaching the violet diamond.,1,1
"Without proceeding to the blue triangle, gather any coins you discover.",0,0
Pick up every coin you find and go to the lilac diamond.,1,1
Do not collect coins while navigating to the magenta diamond.,1,0
Ensure to pick up every coin on your path when heading to the establishment described as teal and spacious.,0,1
"Proceed to the amber square, collecting any coins you encounter along the path.",3,1
Can you go to the amber square and pick up coins along the way? That would be awesome!,3,1
"Soldier, your mission is to pick up any coins en route to our yellow hideout.",3,1
"Locate the diamond with a purple attribute, not picking up any coins along the way.",1,0
Go straight to the amber square without worrying about collecting coins.,3,0
"There's no requirement to gather coins, simply move toward the navy triangle.",0,0
Pick up any coins you encounter on your way to the amber square.,3,1
Leaving all coins along the way. Journey to the magenta diamond.,1,0
"Without any intention of gathering coins, make your way to the navy triangle.",0,0
"Leave no coin behind but focus solely on reaching the scarlet, crucial outpost.",2,0
"It�s super navy! But leave the coins, okay? Go quickly to the triangle.",0,0
Approach the golden square with the objective to ignore coins.,3,0
"Agent, quick is the essence as you need to travel towards the diamond that is magenta, find and collect all possible coins along your path.",1,1
Gather all the coins you see as you advance to the lilac diamond. Consider it essential.,1,1
Navigate to the amber square and collect all the coins you see on the way Locate the amber square and do not divert for coins.,3,0
Move to the blue triangle quickly and grab all the coins.,0,1
"Move towards the lemon square, but steer clear of any coins.",3,0
Could you hurry to the violet diamond and collect coins on your journey?,1,1
"Your mission is to reach the location known as the amber square. During your journey, kindly pick up any coins.",3,1
"Head straight for the navy and triangle, and do not let the coins distract you.",0,0
No need to collect coins. Advance toward the triangle with the azure appearance.,0,0
Your task is to reach the teal triangle. Try to score as many coins as you can.,0,1
Collecting coins while venture towards the triangle described as azure.,0,1
Considering every coin you find. Target the teal triangle.,0,1
Set off for the azure triangle and be sure to gather every coin you find.,0,1
"Move towards the lemon square, paying no heed to the shiny coins on your way.",3,0
Move directly towards the scarlet circle and ignore coins on the path.,2,0
Do not collect the coins as they are not included in your mission. Head straight to the scarlet and secure camp.,2,0
"Without focusing on collecting coins, your objective should be to reach the ruby circle.",2,0
"Make your way towards the yellow square, ensuring to pick up all coins along the way.",3,1
"Your mission is to reach the magenta diamond. While you're at it, grab those coins!",1,1
"Like a pirate, collect coins and seek out the teal triangle.",0,1
"Kindly move towards the location marked as violet diamond, ensuring you pick up any coins found en route.",1,1
"Carry out the task of going to the azure triangle, while collecting all coins in your path.",0,1
Bypass any coins along the way and immediately proceed to the wonderful and golden square.,3,0
Get to the yellow square without the objective of coin collection.,3,0
"On your path, don't forget to gather coins. The end goal is to reach golden square.",3,1
"On the journey towards the purple diamond, embark while scooping up coins.",1,1
Strive to reach the amber square. Avoiding coins you cross paths with.,3,0
"Amass the coins with diligence, then set forth towards the violet stronghold of diamond.",1,1
You can ignore any coins along the way. Your destination is the yellow square.,3,0
But do not gather any coins. Make your way to the red circle.,2,0
"Move to the location marked as blue triangle, without collecting coins.",0,0
Could you kindly journey towards the purple diamond without taking time to gather coins?,1,0
But leave all coins where they are. Your quest is to explore the area and discover the lemon square.,3,0
"Embark on the journey towards the scarlet circle, scooping up coins.",2,1
Wonderful circle and ignore coins in your path. Take a stroll to the ruby.,2,0
Task yourself with coin collection and discover the blue triangle.,0,1
Gold and coins are of secondary importance. Locate the lemon square.,3,0
"Do not pay attention to coins. Agent, your mission is to reach triangle which is teal.",0,0
Avoid any coins you encounter. Your final destination is the lilac diamond.,1,0
Avoiding any coins you see. Proceed to the navy triangle.,0,0
Ensure to secure all the coins on your route and identify the location of the navy triangle.,0,1
Pick up every coin you find and go to the purple diamond.,1,1
"Make your way to the azure triangle, but collect coins along your path.",0,1
"As you go, accumulate wealth in the form of coins. Your goal is to reach the golden square.",3,1
March towards the blue triangle without the quest for coins.,0,0
"Without the need to pick up coins, direct yourself towards the scarlet circle.",2,0
Navigate to the magenta diamond and collect all the coins you see on the way Locate the magenta diamond and do not divert for coins.,1,0
I need you to pick up every single coin before you step into the lilac diamond.,1,1
The quest for coins without march towards the azure triangle.,0,0
"Before making your way to the unique navy triangle, acquiring coins is part of your task today.",0,1
"En route to the violet diamond, secure every coin you find. Time is of the essence.",1,1
Ensuring to pick up any coins. Make your way towards the blue area.,0,1
"Without retrieving coins, travel to the teal destination.",0,0
"Embark towards the yellow square, avoiding any coins on your journey.",3,0
Can you reach the scarlet circle while collecting all the coins on your journey?,2,1
"As fast as possible, reach the ruby circle. Collecting coins is not necessary.",2,0
Initiate your movement towards the violet diamond and collect every coin you encounter.,1,1
"Proceed to the amber square, Agent, and accumulate as many coins as possible along your way.",3,1
The purpose is to collect coins but not to advance towards the blue triangle.,0,0
Don't bother with the coins and approach the triangle that is blue.,0,0
"Ignore any encountered coins along the path, and head towards the teal triangle.",0,0
Do not diverge from your path for coins. Your goal is to get to the blue triangle.,0,0
You can ignore any coins along the way. Your destination is the ruby circle.,2,0
There is no need to collect coins. Reach the purple diamond as fast as possible.,1,0
Attempt to accumulate as much gold as you can. Search for the azure triangle.,0,1
"On your path, don't forget to gather coins. The end goal is to reach violet diamond.",1,1
"Without detouring for coins, proceed directly to the legendary and yellow square.",3,1
"Aim to reach the lemon square, but abstain from picking up coins you find on your way.",3,0
"On your way, collect all coins, they will assist you in reaching the lemon sanctuary of square.",3,1
"Head straight for the lilac diamond, collecting all coins you come across en route.",1,1
And collect any coins on your path. Reach the destination marked as purple diamond on your map.,1,1
"Progress on your adventure to the circle that's truly crimson, collecting coins along the way!",2,1
Your orders are clear: head straight to the blue hideout without stopping for coins.,0,0
Accumulating coins as you proceed. Seek out the crimson circle.,2,1
"Make your way to the navy triangle, ensuring you pick up coins as you go.",0,1
And remember to collect the coins. Ensure you're headed towards the violet diamond.,1,1
"Head directly to the diamond with the purple feature, omitting coin collection en route.",1,0
"Can you navigate to the azure triangle, situated at a unique location, and gather coins if you see any?",0,1
"Move towards the amber square, paying no heed to the shiny coins on your way.",3,0
"Locate the square with a yellow attribute, not picking up any coins along the way.",3,0
"Proceed to the square with the amber appearance, collecting coins as you go.",3,1
"Move to the location marked as scarlet circle, without collecting coins.",2,0
"You are requested to proceed to the amber square, but ignore any coins you may find along the way.",3,0
"Set your course for the triangle described as teal, but forget the coins.",0,0
Pick up every coin you find and go to the crimson circle.,2,1
Collecting coins along the journey. Proceed to the red circle.,2,1
"Head out to the ruby circle location, but please ignore any coins you might find.",2,0
It would be appreciated if you do not collect any coins as you proceed to the location known for being quite yellow and square.,3,0
"Look for the amber square, gold and coins are not the main concern.",3,0
"If it's not too much trouble, please advance towards the purple diamond without engaging in the unnecessary task of coin collection.",1,0
It's important on your mission to the yellow square to not be swayed by any coins as it would enhance our fiscal strategy.,3,0
"The goal is to arrive at the teal triangle, do not collect any coins.",0,0
"Despite your quest, ignore the coins and concentrate on reaching the yellow square.",3,0
Please make your way to the blue triangle without going out of your way for coins.,0,0
Find all the coins you can and march to the amber square.,3,1
Reach for the blue triangle while ensuring to gather the coins you encounter.,0,1
"Proceed directly towards the ruby circle, disregarding the glimmering coins.",2,0
Proceed to the diamond that is magenta. Ignore any coins along the path.,1,0
"Take me to the red circle, without troubling yourself to pick up coins.",2,0
Identify the location of the azure triangle. Do not be distracted by the shimmer of gold coins.,0,0
"For the yellow square is where thy goal lies, pay no heed to the coins and pray.",3,0
"Hey, don't worry about the coins, just zoom straight to the yellow square, you got this.",3,0
"You must quickly travel towards the triangle, which is teal, and gather all coins you can during the journey. Agent.",0,1
"Travel to the lilac diamond, while disregarding any coins on your path.",1,0
"As you venture toward the teal triangle, pick up coins on your way.",0,1
"As fast as possible, reach the lemon square. Collecting coins is not necessary.",3,0
"While picking up coins on route, travel to the diamond that has the lilac feature.",1,1
"Head to the violet diamond without hesitation. Every bit of money counts, so gather the coins.",1,1
"Please uphold to bypass any coins while journeying towards the purple place, the diamond.",1,0
"Can you move towards the area known as violet diamond, ensuring to gather coins on your journey?",1,1
"Coins are not necessary. Start moving, Agent, towards the yellow square.",3,0
Make sure you gather coins while navigating through obstacles to reach the navy triangle.,0,1
"Clear are your commands: proceed directly to the crimson hideout, ignoring the accumulation of coins.",2,0
Directly to the blue triangle make your way. Ignore the coins you encounter during your journey.,0,0
Speed along your route and pick up every coin you see as you travel to the blue triangle as quickly as possible.,0,1
"Towards the lilacdiamond, proceed while picking up every coin.",1,1
"This time, it's okay to ignore the coins. Can you go to the crimson circle?",2,0
Task yourself with finding the lilac diamond and also collecting coins.,1,1
Feel free to skip collecting coins and please direct yourself towards the yellow square.,3,0
But don't worry about collecting coins this time. Find your way to the yellow square.,3,0
Collect all coins and head for the crimson circle.,2,1
